X,Y,objectid,stncode,stnname,city2,state,stfips
-120.476804999995338,37.307183000239327,79,MCD,"Merced, California",Merced,CA,06
-122.420508999700289,47.2418939998933,80,TAC,"Tacoma, Washington",Tacoma,WA,53
-120.912913000077381,37.668950999970107,81,MOD,"Modesto, California",Modesto,CA,06
-79.78708000016006,36.069797000306529,82,GRO,"Greensboro, North Carolina",Greensboro,NC,37
-85.584017999978784,42.295255000325831,83,KAL,"Kalamazoo, Michigan",Kalamazoo,MI,26
-120.654700999688501,35.276433999961164,84,SLO,"San Luis Obispo, California",San Luis Obispo,CA,06
-78.726584000234652,42.907017000270073,85,BUF,"Buffalo (Depew), New York",Buffalo-Depew,NY,36
-76.451969999617077,37.022731000022461,86,NPN,"Newport News, Virginia",Newport News,VA,51
-82.450776999553042,27.952492000362341,87,TPA,"Tampa, Florida",Tampa,FL,12
-76.612233999864173,40.1470279998141,88,ELT,"Elizabethtown, Pennsylvania",Elizabethtown,PA,42
-97.326673000328341,32.75256300034988,89,FTW,"Fort Worth, Texas",Fort Worth,TX,48
-73.937489999705733,41.707056000001465,90,POU,"Poughkeepsie, New York",Poughkeepsie,NY,36
-89.216628000422986,37.724234999753193,91,CDL,"Carbondale, Illinois",Carbondale,IL,17
-90.364105999915623,40.94467800001425,92,GBB,"Galesburg, Illinois",Galesburg,IL,17
-122.686544000300472,45.628900999843708,93,VAN,"Vancouver, Washington, United States",Vancouver,WA,53
-93.085354999900275,44.947660999802125,94,MSP,"St. Paul/Minneapolis, Minnesota",St. Paul-Minneapolis,MN,27
-72.5929049999597,42.105986999821376,95,SPG,"Springfield, Massachusetts",Springfield,MA,25
-123.092361000343118,44.055043000198438,96,EUG,"Eugene, Oregon",Eugene,OR,41
-73.784328999969716,40.911450999694146,97,NRO,"New Rochelle, New York",New Rochelle,NY,36
-78.7822460002658,35.788294000242892,98,CYN,"Cary, North Carolina",Cary,NC,37
-119.175978000445824,34.199241000272217,99,OXN,"Oxnard, California",Oxnard,CA,06
-73.187539000064206,41.178005999792305,100,BRP,"Bridgeport, Connecticut",Bridgeport,CT,09
-79.156933999669732,37.406438999779411,101,LYH,"Lynchburg, Virginia",Lynchburg,VA,51
-70.958700000425239,42.981020000149918,102,EXR,"Exeter, New Hampshire",Exeter,NH,33
-84.392476999792947,33.799445000328042,103,ATL,"Atlanta, Georgia",Atlanta,GA,13
-75.710775000322428,40.002192999970362,104,DOW,"Downingtown, Pennsylvania",Downingtown,PA,42
-87.906299999813641,42.718292000052458,105,SVT,"Sturtevant, Wisconsin",Sturtevant,WI,55
-119.843091999717601,34.437729000311919,106,GTA,"Goleta, California",Goleta,CA,06
-106.647974999696601,35.082061000187416,107,ABQ,"Albuquerque, New Mexico",Albuquerque,NM,35
-118.448206000028975,34.211294000046621,108,VNC,"Van Nuys (Amtrak), California",Van Nuys,CA,06
-78.906299000343225,35.997347000176291,109,DNC,"Durham, North Carolina",Durham,NC,37
-90.059109000216282,35.132457999757442,110,MEM,"Memphis, Tennessee",Memphis,TN,47
-122.198146999806042,37.7524989997045,111,OAC,"Coliseum/Oakland Airport, Oakland, California",Oakland - Coliseum Airport,CA,06
-81.723892999964264,30.365600999981087,112,JAX,"Jacksonville, Florida",Jacksonville,FL,12
-119.812122999810796,39.528520999773363,113,RNO,"Reno, Nevada",Reno,NV,32
-75.290398999978464,40.00827799979033,114,ARD,"Ardmore, Pennsylvania",Ardmore,PA,42
-76.730942999571539,40.192568999763289,115,MID,"Middletown, Pennsylvania",Middletown,PA,42
-90.670939999573633,40.461211999815241,116,MAC,"Macomb, Illinois",Macomb,IL,17
-83.235310999642763,42.307166999703583,117,DER,"Dearborn, Michigan",Dearborn,MI,26
-84.495961999750293,42.718730999753078,118,LNS,"East Lansing, Michigan",East Lansing,MI,26
-119.299917999646993,34.276929000064264,119,VEC,"Ventura, California",Ventura,CA,06
-80.257759000096357,25.849554000308157,120,MIA,"Miami, Florida",Miami,FL,12
-70.936013000314091,43.139328000321179,121,DHM,"Durham, New Hampshire",Durham,NH,33
-122.794058999827627,46.991272999844561,122,OLW,"Olympia/Lacey, Washington",Olympia-Lacey,WA,53
-72.376818000023022,41.300390000217412,123,OSB,"Old Saybrook, Connecticut",Old Saybrook,CT,09
-79.998001999826812,32.874865999656947,124,CHS,"Charleston, South Carolina",Charleston,SC,45
-118.599416999828279,34.253205000312917,125,CWT,"Chatsworth, California",Chatsworth,CA,06
-123.0283310003026,44.932331000234093,126,SLM,"Salem, Oregon",Salem,OR,41
-118.353766999948377,34.193071999693167,127,BUR,"Burbank (Airport), California",Burbank Bob Hope Airport,CA,06
-90.136275999802649,38.904723000180617,128,ALN,"Alton, Illinois",Alton,IL,17
-76.708564000330227,37.276414000076116,129,WBG,"Williamsburg, Virginia",Williamsburg,VA,51
-75.223433999987222,43.103892000298586,130,UCA,"Utica, New York",Utica,NY,36
-88.078765999821272,41.525240000260133,131,JOL,"Joliet, Illinois",Joliet,IL,17
-77.908029000111455,35.723134999896438,132,WLN,"Wilson, North Carolina",Wilson,NC,37
-77.457202999719541,38.298413000182194,133,FBG,"Fredericksburg, Virginia",Fredericksburg,VA,51
-80.062184000203217,26.712553999627914,134,WPB,"West Palm Beach, Florida",West Palm Beach,FL,12
-81.148263999657431,32.083412000111124,135,SAV,"Savannah, Georgia",Savannah,GA,13
-87.805562000384356,42.075038000026652,136,GLN,"Glenview, Illinois",Glenview,IL,17
-83.541720999876674,41.638345000260777,137,TOL,"Toledo, Ohio",Toledo,OH,39
-90.40676100009712,38.581066999762704,138,KWD,"Kirkwood, Missouri",Kirkwood,MO,29
-73.942886999779276,42.814605999789876,139,SDY,"Schenectady, New York",Schenectady,NY,36
-114.335575000393973,48.413474000191613,140,WFH,"Whitefish, Montana",Whitefish,MT,30
-77.797854999919764,35.938001000123357,141,RMT,"Rocky Mount, North Carolina",Rocky Mount,NC,37
-78.884788000041894,35.054993000315022,142,FAY,"Fayetteville, North Carolina",Fayetteville,NC,37
-70.878361000163281,43.197968000312748,143,DOV,"Dover, New Hampshire",Dover,NH,33
-98.47814299975586,29.419350000075557,144,SAS,"San Antonio, Texas",San Antonio,TX,48
-76.502641000353819,40.108959999686725,145,MJY,"Mount Joy, Pennsylvania",Mount Joy,PA,42
-122.511254999596773,48.720262999896832,146,BEL,"Bellingham, Washington",Bellingham,WA,53
-83.07239699985027,42.368097000164838,147,DET,"Detroit, Michigan",Detroit,MI,26
-117.415455000354555,47.65672000011692,148,SPK,"Spokane, Washington",Spokane,WA,53
-70.612191999668795,43.320836000124416,149,WEM,"Wells, Maine",Wells,ME,23
-122.099277000297704,37.665996999714125,150,HAY,"Hayward, California",Hayward,CA,06
-81.696172000002704,41.505786999689256,151,CLE,"Cleveland, Ohio",Cleveland,OH,39
-75.922122999961516,39.95917999997237,152,PAR,"Parkesburg, Pennsylvania",Parkesburg,PA,42
-90.190936000101303,32.300807999949747,153,JAN,"Jackson, Mississippi",Jackson,MS,28
-88.1454970003591,41.779513999834464,154,NPV,"Naperville, Illinois",Naperville,IL,17
-119.034113999923846,34.215933000047094,155,CML,"Camarillo, California (Trains)",Camarillo,CA,06
-107.323218000399834,39.547903000008404,156,GSC,"Glenwood Springs, Colorado",Glenwood Springs,CO,08
-79.757056000084418,34.199156999740701,157,FLO,"Florence, South Carolina",Florence,SC,45
-118.258867999560238,34.123705999859148,158,GDL,"Glendale, California",Glendale,CA,06
-73.882394000287377,41.189903000168449,159,CRT,"Croton Harmon, New York",Croton-Harmon,NY,36
-71.086374999643397,42.773297000070507,160,HHL,"Haverhill, Massachusetts",Haverhill,MA,25
-97.512748999709871,35.465490000327222,161,OKC,"Oklahoma City, Oklahoma",Oklahoma City,OK,40
-76.276194999564879,36.843508999830888,162,NFK,"Norfolk, Virginia",Norfolk,VA,51
-70.449138999959132,43.496190999811908,163,SAO,"Saco, Maine",Saco,ME,23
-118.695163000138265,34.270203999993818,164,SIM,"Simi Valley, California",Simi Valley,CA,06
-121.93657600004218,37.353219000349675,165,SCC,University Station,Santa Clara University,CA,06
-71.829780000064062,41.381081000035472,166,WLY,"Westerly, Rhode Island",Westerly,RI,44
-77.429511999895226,37.534208999879915,167,RVM,"Richmond (Main St), Virginia",Richmond,VA,51
-74.623976000094601,40.315849999937456,168,PJC,"Princeton Junction, New Jersey",Princeton Junction,NJ,34
-86.806614000285208,33.512800999773958,169,BHM,"Birmingham, Alabama",Birmingham,AL,01
-80.17000000002929,26.119255999640316,170,FTL,"Fort Lauderdale, Florida",Fort Lauderdale,FL,12
-96.807234999957103,32.776093999894329,171,DAL,"Dallas, Texas",Dallas,TX,48
-122.197858000101022,47.975400999862991,172,EVR,"Everett, Washington",Everett,WA,53
-91.368524999708143,39.957062999909517,173,QCY,"Quincy, Illinois",Quincy,IL,17
-111.908349000036395,40.761660999996238,174,SLC,"Salt Lake City, Utah",Salt Lake City,UT,49
-122.007496000158454,37.55909300024539,175,FMT,"Fremont (Trains, Capitol Buses), California",Fremont,CA,06
-119.332309000309252,35.594091999833033,176,WAC,"Wasco, California",Wasco,CA,06
-111.648871000324348,35.19737400010127,177,FLG,"Flagstaff, Arizona",Flagstaff,AZ,04
-92.169906000144678,38.578870000336501,178,JEF,"Jefferson City, Missouri",Jefferson City,MO,29
-121.81602399962992,38.017700000183694,179,ACA,"Antioch-Pittsburg, California",Antioch-Pittsburg,CA,06
-121.286285999754341,38.750016000216185,180,RSV,"Roseville, California",Roseville,CA,06
-85.187825000121251,42.318453000046681,181,BTL,"Battle Creek, Michigan",Battle Creek,MI,26
-85.672447000415772,42.955788000122155,182,GRR,"Grand Rapids, Michigan",Grand Rapids,MI,26
-121.278999999843435,37.957037999885209,183,SKT,"Stockton (ACE, 701-704), California",Stockton  - ACE Station,CA,06
-78.873747999847481,42.87844899982283,184,BFX,"Buffalo (Exchange St), New York",Buffalo- Exchange St.,NY,36
-81.404234000031551,28.293834999871702,185,KIS,"Kissimmee, Florida",Kissimmee,FL,12
-76.163260000397941,39.508446999750589,186,ABE,"Aberdeen, Maryland",Aberdeen,MD,24
-88.376044999789514,39.482729999716078,187,MAT,"Mattoon, Illinois",Mattoon,IL,17
-87.66868499985712,41.562446000330851,188,HMW,"Homewood, Illinois",Homewood,IL,17
-73.810027000199653,43.082810000151838,189,SAR,"Saratoga Springs, New York",Saratoga Springs,NY,36
-89.466815000035808,41.385191000192066,190,PCT,"Princeton, Illinois",Princeton,IL,17
-86.096552999855462,42.791095999878053,191,HOM,"Holland, Michigan",Holland,MI,26
-123.102773999825402,44.630463999838646,192,ALY,"Albany, Oregon",Albany,OR,41
-121.771951999614174,42.225508999686269,193,KFS,"Klamath Falls, Oregon",Klamath Falls,OR,41
-80.006097000024695,35.957127999777931,194,HPT,"High Point, North Carolina",High Point,NC,37
-81.040489999664203,33.994297000186258,195,CLB,"Columbia, South Carolina",Columbia,SC,45
-108.569928999623912,39.06437499972219,196,GJT,"Grand Junction, Colorado",Grand Junction,CO,08
-122.913016000130384,46.14226400026044,197,KEL,"Kelso-Longview, Washington",Kelso-Longview,WA,53
-119.522975000025426,34.396779999866851,198,CPN,"Carpinteria, California",Carpinteria,CA,06
-97.75693999992275,30.269449000379616,199,AUS,"Austin, Texas",Austin,TX,48
-86.160423000062366,39.761984000278382,200,IND,"Indianapolis, Indiana",Indianapolis,IN,18
-122.384141000070102,47.811081000020039,201,EDM,"Edmonds, Washington",Edmonds,WA,53
-119.557049999587193,36.09851600013625,202,COC,"Corcoran, California",Corcoran,CA,06
-77.428793999844785,37.241626999681181,203,PTB,"Petersburg, Virginia",Petersburg,VA,51
-122.240253999816531,47.461081000140574,204,TUK,"Tukwila, Washington",Tukwila,WA,53
-95.928650000124293,41.249828000279265,205,OMA,"Omaha, Nebraska",Omaha,NE,31
-101.298556999699954,48.236083000170446,206,MOT,"Minot, North Dakota",Minot,ND,38
-83.651727999663834,43.015424999873829,207,FLN,"Flint, Michigan",Flint,MI,26
-120.798008999808872,37.527229000319558,208,TRK,"Turlock-Denair, California",Turlock-Denair,CA,06
-79.031864999616033,43.113547999717198,209,NFL,"Niagara Falls, New York, United States",Niagara Falls,NY,36
-94.728321999629415,32.494031999657558,210,LVW,"Longview, Texas",Longview,TX,48
-81.352009000091513,28.597105999697717,211,WPK,"Winter Park, Florida",Winter Park,FL,12
-77.48130400019015,37.759595999753905,212,ASD,"Ashland, Virginia",Ashland,VA,51
-103.620925999573444,48.142999999993748,213,WTN,"Williston, North Dakota",Williston,ND,38
-120.074979999887617,37.022471000205414,214,MDR,"Madera, California",Madera,CA,06
-110.96677000023081,32.22297700035908,215,TUS,"Tucson, Arizona",Tucson,AZ,04
-69.965494000181124,43.911245000099655,216,BRK,Visitor's Center,Brunswick,ME,23
-94.377971999624236,38.912623000177796,217,LEE,"Lees Summit, Missouri",Lees Summit,MO,29
-83.147010000150686,42.48843900028033,218,ROY,"Royal Oak, Michigan",Royal Oak,MI,26
-91.247297999801532,43.833154999982909,219,LSE,"LaCrosse, Wisconsin",La Crosse,WI,55
-88.547109999856403,39.117058999888776,220,EFG,"Effingham, Illinois",Effingham,IL,17
-122.953061999876084,46.717469999912581,221,CTL,"Centralia, Washington",Centralia,WA,53
-80.167884000411192,26.01164099989948,222,HOL,"Hollywood, Florida",Hollywood,FL,12
-71.963093000278548,41.350933999727715,223,MYS,"Mystic, Connecticut",Mystic,CT,09
-73.902262999725295,40.935585999715144,224,YNY,"Yonkers, New York",Yonkers,NY,36
-80.122146999965722,26.317069000171564,225,DFB,"Deerfield Beach, Florida",Deerfield Beach,FL,12
-91.432558000121688,38.707283000292115,226,HEM,"Hermann, Missouri",Hermann,MO,29
-79.434530999797829,36.094224999649512,227,BNC,"Burlington, North Carolina",Burlington,NC,37
-89.11792000039803,41.549584000120007,228,MDT,"Mendota, Illinois",Mendota,IL,17
-83.191026000089977,42.542555000326665,229,TRM,"Troy, MI",Troy,MI,26
-119.087728999933887,46.237012000058776,230,PSC,"Pasco, Washington",Pasco,WA,53
-84.399669999817405,42.248113000006235,231,JXN,"Jackson, Michigan",Jackson,MI,26
-81.35247699989668,29.01784900019355,232,DLD,"Deland, Florida",DeLand,FL,12
-78.921995999921165,40.329689000249274,233,JST,"Johnstown, Pennsylvania",Johnstown,PA,42
-78.401620000289839,40.514474999940404,234,ALT,"Altoona, Pennsylvania",Altoona,PA,42
-81.734877999907098,28.002145999622673,235,WTH,"Winter Haven, Florida",Winter Haven,FL,12
-80.466323000295731,35.667496000083602,236,SAL,"Salisbury, North Carolina",Salisbury,NC,37
-77.472577000155582,38.750084000073322,237,MSS,"Manassas, Virginia",Manassas,VA,51
-96.785372000201576,46.880981999891851,238,FAR,"Fargo, North Dakota",Fargo,ND,38
-71.143822999579683,42.517357999961973,239,WOB,"Woburn, Massachusetts",Woburn,MA,25
-121.656745000295246,36.679144999717316,240,SNS,"Salinas, California",Salinas,CA,06
-86.287344999968354,41.678359999684858,241,SOB,"South Bend, Indiana",South Bend,IN,18
-85.971847999849842,41.680748000169885,242,EKH,"Elkhart, Indiana",Elkhart,IN,18
-89.136117999558522,38.52753100024249,243,CEN,"Centralia, Illinois",Centralia,IL,17
-89.363699000149367,40.147855000193672,244,LCN,"Lincoln, Illinois",Lincoln,IL,17
-86.745781999961238,41.796656000038311,245,NBU,"New Buffalo, MI",New Buffalo,MI,26
-85.024297999860309,41.431816000098031,246,WTI,"Waterloo, Indiana",Waterloo,IN,18
-82.443805000359859,42.96041900020986,247,PTH,"Port Huron, Michigan",Port Huron,MI,26
-87.865429999712319,41.119258999663678,248,KKI,"Kankakee, Illinois",Kankakee,IL,17
-95.367525999692063,29.767245000191675,249,HOS,"Houston, Texas",Houston,TX,48
-120.629266000122641,35.121259999911793,250,GVB,"Grover Beach, California",Grover Beach,CA,06
-73.110277000043283,44.492465999952444,251,ESX,"Essex Junction, Vermont",Essex Junction-Burlington,VT,50
-91.640072999834544,44.044403999753527,252,WIN,"Winona, Minnesota",Winona,MN,27
-117.224891999672209,32.902683999784792,253,SRB,"Sorrento Valley, CA",Sorrento Valley,CA,06
-77.293026999903461,38.521882000026601,254,QAN,"Quantico, Virginia",Quantico,VA,51
-80.624927999960974,35.496172000130727,255,KAN,"Kannapolis, North Carolina",Kannapolis,NC,37
-122.334738000103002,48.418470000234514,256,MVW,"Mount Vernon, Washington",Mount Vernon,WA,53
-86.895900999616302,40.419346999964169,257,LAF,"Lafayette, Indiana",Lafayette,IN,18
-92.286784999565953,34.750297999676263,258,LRK,"Little Rock, Arkansas",Little Rock,AR,05
-72.800678000313752,41.539385000211773,259,MDN,"Meriden, Connecticut",Meriden,CT,09
-118.878059000244946,34.284759999847964,260,MPK,"Moorpark, California",Moorpark,CA,06
-72.626378999646974,42.318857999967925,261,NHT,"Northampton, MA",Northampton,MA,25
-89.927544000272121,41.24576500014777,262,KEE,"Kewanee, Illinois",Kewanee,IL,17
-72.626100999812607,41.913956000123356,263,WNL,"Windsor Locks, Connecticut",Windsor Locks,CT,09
-86.25237200043108,41.837411999703875,264,NLS,"Niles, Michigan",Niles,MI,26
-104.437885999587195,36.901072000339461,265,RAT,"Raton, New Mexico",Raton,NM,35
-81.434202000030737,27.496631999745222,266,SBG,"Sebring, Florida",Sebring,FL,12
-121.237298999713815,38.79100600001059,267,RLN,"Rocklin, California",Rocklin,CA,06
-80.082444000351728,42.120847000223769,268,ERI,"Erie, Pennsylvania",Erie,PA,42
-72.76527399988295,41.635595000112026,269,BER,"Berlin, Connecticut",Berlin,CT,09
-72.556497000146592,42.850849000324409,270,BRA,"Brattleboro, Vermont",Brattleboro,VT,50
-93.764894000311969,41.037116000219612,271,OSC,"Osceola, Iowa",Osceola,IA,19
-91.012717000428367,38.561465999674688,272,WAH,"Washington, Missouri",Washington,MO,29
-121.083187000298949,38.90363799995442,273,ARN,"Auburn, California",Auburn,CA,06
-70.376225000423574,43.514326000107907,274,ORB,"Old Orchard Beach, Maine (Seasonal)",Old Orchard Beach,ME,23
-108.740547999626969,35.529176000032379,275,GLP,"Gallup, New Mexico",Gallup,NM,35
-97.345791999928849,31.095883000236626,276,TPL,"Temple, Texas",Temple,TX,48
-75.820929000422638,39.985688000163755,277,COT,"Coatesville, Pennsylvania",Coatesville,PA,42
-117.619732999992848,33.419644999750332,278,SNP,"San Clemente Pier, California",San Clemente Pier,CA,06
-88.636601000300359,40.87965199975897,279,PON,"Pontiac, Illinois",Pontiac,IL,17
-77.993420999592075,38.472360000221784,280,CLP,"Culpeper, Virginia",Culpeper,VA,51
-120.306551999690186,47.421556000104147,281,WEN,"Wenatchee, Washington",Wenatchee,WA,53
-90.176453999792855,33.517158999653745,282,GWD,"Greenwood, Mississippi",Greenwood,MS,28
-122.595924999727259,45.36614599986563,283,ORC,"Oregon City, Oregon",Oregon City,OR,41
-96.713169999970361,40.815870999838182,284,LNK,"Lincoln, Nebraska",Lincoln,NE,31
-120.185386999707859,39.32761600003245,285,TRU,"Truckee, California",Truckee,CA,06
-106.495644000164035,31.757346000010443,286,ELP,"El Paso, Texas",El Paso,TX,48
-81.951873999689951,28.045603000337614,287,LKL,"Lakeland, Florida",Lakeland,FL,12
-89.777450999658043,43.626508999906733,288,WDL,"Wisconsin Dells, Wisconsin",Wisconsin Dells,WI,55
-72.981538000269978,43.605755999829931,289,RUD,"Rutland, Vermont",Rutland,VT,50
-89.012609000352469,43.34061100023775,290,CBS,"Columbus, Wisconsin",Columbus,WI,55
-97.110834999913664,47.917522000166393,291,GFK,"Grand Forks, North Dakota",Grand Forks,ND,38
-79.063291000355676,43.108736000001151,292,NFS,VIA Rail Canada Station,Niagara Falls,ND,38
-93.740899999971418,38.762750000314796,293,WAR,"Warrensburg, Missouri",Warrensburg,MO,29
-113.219522999844344,48.442333000062831,294,GPK,"East Glacier Park, Montana",East Glacier Park,MT,30
-97.344885999557448,38.046976000313798,295,NEW,"Newton, Kansas",Newton,KS,20
-72.317272000012025,43.647785000245143,296,WRJ,"White River Jct., Vermont",White River Junction,VT,50
-79.546892999577651,40.304986000158927,297,GNB,"Greensburg, Pennsylvania",Greensburg,PA,42
-91.550772000259727,40.971178999906982,298,MTP,"Mt. Pleasant, Iowa",Mount Pleasant,IA,19
-73.446283999657254,44.696728000267584,299,PLB,"Plattsburgh, New York",Plattsburgh,NY,36
-80.091153999769546,26.454020999605131,300,DLB,"Delray Beach, Florida",Delray Beach,FL,12
